content_name,tree
jwhile1,ROOT-ClassDefinition;ROOT-PublicClassSpecifier;@ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-StaticMethodSpecifier;ROOT-VoidDataType;@ROOT-IntDataType;ROOT-SimpleAssignmentExpression;@ROOT-LessExpression;ROOT-WhileStatement;@WhileStatement-LessExpression;WhileStatement-PostIncrementExpression;@ROOT-PostIncrementExpression;
jwhile2,ROOT-ClassDefinition;ROOT-PublicClassSpecifier;@ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-StaticMethodSpecifier;ROOT-VoidDataType;@ROOT-IntDataType;ROOT-SimpleAssignmentExpression;@ROOT-EqualExpression;ROOT-WhileStatement;@WhileStatement-EqualExpression;WhileStatement-PostDecrementExpression;@ROOT-PostDecrementExpression;
jinteger1,ROOT-ClassDefinition;ROOT-PublicClassSpecifier;@ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-StaticMethodSpecifier;ROOT-VoidDataType;@ROOT-DivideExpression;ROOT-IntDataType;ROOT-MultiplyExpression;ROOT-SimpleAssignmentExpression;ROOT-SubtractExpression;
jpri_string1,ROOT-SimpleAssignmentExpression;ROOT-StringAddition;ROOT-StringDataType;ROOT-StringLiteral;ROOT-StringVariable;@ROOT-ActualMethodParameter;ROOT-java.lang.System.out.println;
jwhile3,ROOT-ClassDefinition;ROOT-PublicClassSpecifier;@ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-StaticMethodSpecifier;ROOT-VoidDataType;@ROOT-IntDataType;ROOT-SimpleAssignmentExpression;@ROOT-LessExpression;ROOT-WhileStatement;@WhileStatement-AddAssignmentExpression;WhileStatement-LessExpression;WhileStatement-PostIncrementExpression;@ROOT-AddAssignmentExpression;@ROOT-PostIncrementExpression;
jwhile4,ROOT-ClassDefinition;ROOT-PublicClassSpecifier;@ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-StaticMethodSpecifier;ROOT-VoidDataType;@ROOT-IntDataType;ROOT-SimpleAssignmentExpression;@ROOT-LessExpression;ROOT-WhileStatement;@WhileStatement-EqualExpression;WhileStatement-IfStatement;WhileStatement-LessExpression;WhileStatement-ModulusExpression;WhileStatement-PostIncrementExpression;@ROOT-EqualExpression;ROOT-IfStatement;ROOT-ModulusExpression;@IfStatement-EqualExpression;IfStatement-ModulusExpression;IfStatement-PostIncrementExpression;@ROOT-PostIncrementExpression;
jdouble1,ROOT-ClassDefinition;ROOT-PublicClassSpecifier;@ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-StaticMethodSpecifier;ROOT-VoidDataType;@ROOT-DoubleDataType;ROOT-SimpleAssignmentExpression;@ROOT-AddExpression;ROOT-ExplicitTypeCasting;ROOT-IntDataType;ROOT-SimpleAssignmentExpression;
jclass1,ROOT-ClassDefinition;ROOT-PublicClassSpecifier;@ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-StaticMethodSpecifier;ROOT-VoidDataType;@ROOT-ActualMethodParameter;ROOT-ConstructorCall;ROOT-ObjectCreationStatement;ROOT-SimpleAssignmentExpression;@ROOT-ClassDefinition;ROOT-DoubleDataType;ROOT-ObjectMethodInvocation;ROOT-PublicClassSpecifier;ROOT-SimpleAssignmentExpression;@ROOT-ConstructorDefinition;ROOT-PublicConstructorSpecifier;@ROOT-SimpleAssignmentExpression;@ROOT-ConstructorDefinition;ROOT-DoubleDataType;ROOT-FormalMethodParameter;ROOT-PublicConstructorSpecifier;@ROOT-DoubleDataType;ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-VoidDataType;@ROOT-AddExpression;ROOT-DoubleDataType;ROOT-SimpleAssignmentExpression;@ROOT-DoubleDataType;ROOT-SimpleAssignmentExpression;ROOT-SubtractExpression;@ROOT-DoubleDataType;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;@ROOT-ReturnStatement;@ROOT-DoubleDataType;ROOT-InstanceField;ROOT-PrivateFieldSpecifier;ROOT-SimpleVariable;
jbankaccount,ROOT-ClassDefinition;ROOT-PublicClassSpecifier;@ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-StaticMethodSpecifier;ROOT-VoidDataType;@ROOT-ConstructorCall;ROOT-ObjectCreationStatement;ROOT-SimpleAssignmentExpression;@ROOT-ActualMethodParameter;ROOT-ClassDefinition;ROOT-ObjectMethodInvocation;ROOT-PublicClassSpecifier;@ROOT-ActualMethodParameter;ROOT-ObjectMethodInvocation;@ROOT-DoubleDataType;ROOT-ObjectMethodInvocation;ROOT-SimpleAssignmentExpression;@ROOT-ConstructorDefinition;ROOT-PublicConstructorSpecifier;@ROOT-SimpleAssignmentExpression;@ROOT-ConstructorDefinition;ROOT-DoubleDataType;ROOT-FormalMethodParameter;ROOT-PublicConstructorSpecifier;@ROOT-DoubleDataType;ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-VoidDataType;@ROOT-AddExpression;ROOT-DoubleDataType;ROOT-SimpleAssignmentExpression;@ROOT-DoubleDataType;ROOT-SimpleAssignmentExpression;ROOT-SubtractExpression;@ROOT-DoubleDataType;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;@ROOT-ReturnStatement;@ROOT-DoubleDataType;ROOT-InstanceField;ROOT-PrivateFieldSpecifier;ROOT-SimpleVariable;
jba_ques,ROOT-ClassDefinition;ROOT-PublicClassSpecifier;@ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-StaticMethodSpecifier;ROOT-VoidDataType;@ROOT-ConstructorCall;ROOT-ObjectCreationStatement;ROOT-SimpleAssignmentExpression;@ROOT-ActualMethodParameter;ROOT-ClassDefinition;ROOT-MultiplyExpression;ROOT-ObjectMethodInvocation;ROOT-PublicClassSpecifier;@ROOT-ActualMethodParameter;ROOT-ConstructorCall;ROOT-ObjectCreationStatement;ROOT-SimpleAssignmentExpression;@ROOT-AddExpression;ROOT-DoubleDataType;ROOT-ObjectMethodInvocation;ROOT-SimpleAssignmentExpression;@ROOT-ConstructorDefinition;ROOT-PublicConstructorSpecifier;@ROOT-SimpleAssignmentExpression;@ROOT-ConstructorDefinition;ROOT-DoubleDataType;ROOT-FormalMethodParameter;ROOT-PublicConstructorSpecifier;@ROOT-DoubleDataType;ROOT-FormalMethodParameter;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;ROOT-VoidDataType;@ROOT-AddExpression;ROOT-DoubleDataType;ROOT-SimpleAssignmentExpression;@ROOT-DoubleDataType;ROOT-SimpleAssignmentExpression;ROOT-SubtractExpression;@ROOT-DoubleDataType;ROOT-MethodDefinition;ROOT-PublicMethodSpecifier;@ROOT-ReturnStatement;@ROOT-DoubleDataType;ROOT-InstanceField;ROOT-PrivateFieldSpecifier;ROOT-SimpleVariable;
